"","id","lyric"
"1","132ALUzVLmqYB4UsBj5qD6","O-O-Ovy On The Drums;Acércate, dejá la duda;La noche e' fría pero conmigo e' segura;Despégate de la amargura;Y déjame llevarte a tu debida altura;De tu' locuras, de tus ideas;De tu cultura y de tu ciencia;¿La alcanzaré? Eso no lo sé, pero esta noche-;De mí no te escapas;Esta noche no me guardo la' palabras;Soñé siempre con tener esta velada;Y que tengo que contarte a ti;Que de mí no te escapas;Esta noche no me guardo la' palabras;Soñé siempre con tener esta velada;Y que tengo que contarte a ti;Como Adán y Eva, tengamo' nuestro pecado;Como do' ladrone': un secreto bien guardado;Un camino y un destino asegurado;Donde esto' fugitivo' sean amados;Y como Adán y Eva, tengamo' nuestro pecado;Como do' ladrone': un secreto bien guardado;Un camino y un destino asegurado;Donde esto' fugitivo' sean amados (Ey);Tú vive' con otro y yo medio a solas;A mí no me quieren, él no te valora;Él no te saluda ni te dice ""Hola"";Y a mí no me hablan a ninguna hora;Vives en una esquina y yo vivo en la otra;Y te miro to' el día a ver cuándo e' la hora;Para acercarme; quiero sentirte, quiero mirarte, ma';Para hablarte; quiero contarte, quiero explicarte, ma';Que no soy alguien interesante, sólo un cobarde más;Que hizo bastante para este día poderse acercar má', má';Ya no puedo más, tiene' que escuchar;Lo que vine a ofrecer, ey;De mí no te escapas (No);Esta noche no me guardo las palabras (Yeh);Soñé siempre con tener esta velada;Y que tengo que contarte a ti (¡Wuh!);Como Adán y Eva, tengamo' nuestro pecado;Como do' ladrone': un secreto bien guardado;Un camino y un destino asegurado (Woh-oh, yeh-eh);Donde esto' fugitivo' sean amados;Y como Adán y Eva, tengamo' nuestro pecado (Woh);Como do' ladrone': un secreto bien guardado (Yeh);Un camino y un destino asegurado (Woh-oh, yeh-eh);Donde esto' fugitivo' sean amados;Como Adán y Eva (Ey);Como Adán y Eva (Ah);Como Adán y Eva;Como Adán y Eva;A-A-A-A-Acércate, dejá la duda;La noche e' fría pero conmigo e' segura;Despégate de la amargura;Y déjame llevarte a tu debida altura;De tu' locuras, de tus ideas;De tu cultura y de tu ciencia;¿La alcanzaré? Eso no lo sé, pero esta noche-;Ah…;Sé que soy muy molesto, pero quiero decirte que...;De mí no te escapas (No);Esta noche no me guardo la' palabra' (Yeh);Soñé siempre con tener esta velada (-la, -la, -la, -la, -la);Y que tengo que contarte a ti (¡Wuh!);Que de mí no te escapas (No);Esta noche no me guardo la' palabra' (Yeh);Soñé siempre con tener esta velada (Woh-oh, yeh-eh);Y que tengo que contarte a ti (Yeh);¡Shiuf!;Ovy On The Drums, On The Drums, On The Drums (Woh);Paulo Londra, ey (Yeh);Big Ligas;Lo' Mayore', ah;The Kristoman, ey (Woh);Leone' Con Flow (Yeh);Oh, oh; oh, oh (Woh-oh; yeh-eh);Yeh-eh-eh (Yeh-eh);Como Adán y Eva, ey (Sencillo; yeh-eh-eh);Como Adán y Eva, ah (Yeh-eh-eh);Como Adán y Eva;Como Adán y Eva (Yeh-eh-eh)"
"2","5iwz1NiezX7WWjnCgY5TH4","Cuatro abrazos y un café, apenas me desperté;Y al mirarte recordé que ya todo lo encontré;Tu mano en mi mano, de todo escapamos;Juntos ver el sol caer;Vamos pa' la playa, pa' curarte el alma;Cierra la pantalla, abre la Medalla;Todo el mar caribe, viendo tu cintura;Tú le coqueteas, tú eres buscabulla y me gusta;Lento y contento, cara al viento;Lento y contento, cara al viento;Pa' sentir la arena en los pies;Pa' que el sol nos pinte la piel;Pa' jugar como niños, darnos cariño, como la primera vez;Que te miré, yo supe que estaría a tus pies, desde que se tocaron;Tu mano y mi mano de todo escapamos;Juntos ver el sol caer;Vamos pa' la playa, pa' curarte el alma;Cierra la pantalla, abre la Medalla;Todo el mar caribe, viendo tu cintura;Tú le coqueteas, tú eres buscabulla;Vamos pa' la playa, pa' curarte el alma;Cierra la pantalla, abre la Medalla;Todo el mar caribe, viendo tu cintura;Tú le coqueteas, tú eres buscabulla y me gusta;Lento y contento, cara al viento;Lento y contento, cara al viento;Calma, mi vida, con calma;Que nada hace falta si estamos juntitos andando;Calma, mi vida, con calma;Que nada hace falta si estamos juntitos bailando;Calma, mi vida, con calma;Que nada hace falta si estamos juntitos andando (Juntitos tripeando);Calma, mi vida, con calma;Que nada hace falta si estamos juntitos bailando"
"3","5w9c2J52mkdntKOmRLeM2m","D-D-D-D-D-DY;Play N' Skillz;¡Run!;¿Cómo te llamas, baby?;Desde que te vi supe que eras pa' mí;Dile a tus amigas que andamo' ready;Esto lo seguimo' en el after party;¿Cómo te llamas, baby? (Brr, brr);Desde que te vi supe que eras pa' mí;Dile a tus amigas que andamo' ready (¡Sube!);Esto lo seguimo' en el after party (Su-su, ey);Con calma, yo quiero ver como ella lo menea;Mueve ese poom-poom, girl;Es una asesina, cuando baila quiere que to' el mundo la vea;I like your poom-poom, girl (Sub-sube);Con calma, yo quiero ver como ella lo menea;Mueve ese poom-poom, girl;Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea;I like your poom-poom, girl (¡Hey!);Ya vi que estás solita, acompáñame;La noche es de nosotro', tú lo sabe' (You know!);Que ganas me dan-dan-dan;De guayarte, mami, ese ram-pam-pam, yeah;Esa criminal como lo mueve e' un delito (Oh);Tengo que arrestarte porque empiezo y no me quito (Eh);Tienes criminality, pero te doy fatality;Vívete la película flotando en mi gravity;Daddy pone las regla', tiene' que obedecer;Mami, no tiene pausa, ¿qué e' lo que vas a hacer?;Échale, échale, échale pa' atrás;Échale, échale, pa' alante y pa' atrás (Eh, ey-ey-ey);Con calma, yo quiero ver como ella lo menea;Mueve ese poom-poom, girl (Girl);Es una asesina, cuando baila quiere que to' el mundo la vea;I like your poom-poom, girl;Con calma, yo quiero ver como ella lo menea (Con calma);Mueve ese poom-poom, girl;Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea;I like your poom-poom, girl;Tú tiene' candela y yo tengo la vela;Llama el 911, se están quemando las suela';Me daña cuando la faldita esa me la modela;Mami, 'tás enferma, pero tu show no lo cancela';Te llaman a ti la reina del party;Mucha sandunga tiene ese body;Tírate un paso, no-no-no pare, ¡wow, dale, dale! (Yo');Somos dos bandido' entre la rumba y romance;Y zúmbale, DJ, otra ve' pa' que dance;Échale, échale, échale pa' atrás;Échale, échale, pa' alante y pa' atrás (Ey, eh, ey);Con calma, yo quiero ver como ella lo menea (Con calma);Mueve ese poom-poom, girl (Girl);Es una asesina, cuando baila quiere que to' el mundo la vea;I like your poom-poom, girl;Con calma, yo quiero ver como ella lo menea (Con calma);Mueve ese poom-poom, girl;Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea;I like your poom-poom, girl (¡Snow!);Come with a nice young lady (What?);Intelligent, yes, she gentle and irie (¡Fuego!);Everywhere me go me never lef' her at all-ie (¡Dile!);Yes-a Daddy Snow me are the roam dance man-a (¡Snow!);Roam between-a dancin' in-a in-a nation-a (Prr-prr-prr);You never know say daddy me Snow me are the boom shakata (¿Qué-qué-qué-qué?);Me never lay-a down flat in-a one cardboard box-a (¡Sube, sube!);Yes-a Daddy Yankee me-a go reachin' out da top (What?);Con calma, yo quiero ver como ella lo menea;Mueve ese poom-poom, girl (Girl);Es una asesina, cuando baila quiere que to' el mundo la vea;I like your poom-poom, girl;Con calma, ya' no say daddy me Snow me I go blame;I like your poom-poom, girl;'Tective man a say, say daddy me Snow me stop a girl down the lane;I love your poom-poom, girl"
"4","224EVTFiLsdQignUFLvDeH","Ya;Ieh ieh;Rafa Pabón;Dalex (Uh-uh);Dímelo Flow;Yo no puedo compartirte;Eres como la clave de mi celular;No es necesario decirte que;Yo te quiero pa' mí, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Yo te quiero pa' mi, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Que te siga buscando que él no te va a encontrar;Ahora está conmigo y él no te va a tocar;Y que no trate de forzar porque le puede costar;Y aunque no tenga sueño lo podemos acostar;Esto es sin hablar, porque no soy de roncar;Pero tú eres mía, lo tienes que aceptar;Que ahora conmigo es que vas a despertar;Y solamente él te puede imaginar;Que te siga buscando que él no te va a encontrar;Ahora está conmigo y él no te va a tocar;Y que no trate de forzar porque le puede costar;Y aunque no tenga sueño lo podemos acostar;Yo te quiero pa' mí, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Yo te quiero pa' mí, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Y ahora yo soy el que te lo pone a ti sin condones;Y él ya no lo puede evitar;Y si le duele que lo abandone o se me encojone;Pa' que no te supo cuidar;Baby, solo apaga tu teléfono;Ponte la Balenciaga, dale, vámonos;Cojamos carretera y perdámonos;Y como caníbales más comámonos;Y ahora yo soy el que te lo pone a ti sin condones;Y él ya no lo puede evitar;Y si le duele que lo abandone o se me encojone;Pa' que no te supo cuidar;Yo no puedo compartirte;Eres como la clave de mi celular;No es necesario decirte que...;Yo te quiero pa' mí, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Yo te quiero pa' mí, no te quiero pa' más nadie;Solita pa' mí, no te comparto con nadie;A mano armada fue que te robé;Y él como un loco anda buscándote;Dalex;Música Refrescante, bebé;Rafa Pabón;Dímelo Flow;Rich Music;Yo te quiero pa' mí"
"5","46lvmzK8wxAy66tjzXXSh0","Ey, oh;O-O-Ovy On The Drums;Ey;Qué será;Qué será eso que huele tan bien (Tan bien);Pero en realidad sabe mal, ey;Y que me tiene desvelándome;Y tal vez tú me tendría' que avisar;Cuando ya no me quiere' ver, ah (No me quiere' ver);Porque yo acá sigo esperándote;Qué mal por mí (Ah, ah);Que haga frío acá afuera y tú hoy no quiera' salir (Quiera' salir);Eh, ah; ey;Pero tranqui (Tranqui, tranqui);Que el frío y la espera siempre fue costumbre pa' mí;Qué mal por mí, -í;Porque tal vez lo nuestro era sólo para divertirse (¡Wuh!);Pero este tonto suele confundirse (Eh);Y e' triste (Qué);Que del finde ya no he vuelto a sonreír (Ay);Tal vez lo nuestro era sólo para divertirse (Ey; divertirse);Pero este tonto suele confundirse (Eh);Y e' triste (Ah);Que del finde ya no he vuelto a sonreír, ey (Ah);Parece leyenda (-da, ay);Maniquí, le queda bien toda' la' prenda' (-da', wuf);No e' como yo, a ella nada la avergüenza (-za; nah);No tiene paciencia (-cia; yeh);Le sobra experiencia;Al frente de la audiencia (¡Wuh!);Normal que deleite (Ey);Cuando pueda verle (Ay);Demasiado inteligente como Einstein (Shh);Hace lo que sea, no piensa en la gente (No);Una chica que la admiro desde siempre;No la contratan pa' bailar porque se roba el show (¡Ay!);No quiere ser modelo porque eso le aburrió (Nah);No puede ser locutora porque con su voz enamoró;Tendría que ser ladrona porque te roba hasta el corazón (¡Wuh!);E-E-E-E-E-Entonces, ¿ahora cómo olvido de tu nombre? (Uh, uh; uh, uh);Hago mil pregunta' y no responde' (-de');Tienes una receta secreta, y juro que me altera (-tera);Entonces, ¿ahora cómo olvido de tu nombre? (Uh, uh; uh, uh);Hago mil pregunta' y no responde' (-de');Tienes una receta secreta, y juro que me altera;Porque tal vez lo nuestro era sólo para divertirse;Pero este tonto suele confundirse;Y e' triste que del finde ya no he vuelto a sonreír;Tal vez lo nuestro era sólo para divertirse (Oh, oh);Pero este tonto suele confundirse (Eh, eh);Y e' triste (Oh, oh);Que del finde ya no he vuelto a sonreír, ey (Eh, eh; oh, oh; sí);Si me contesta, un milagro (Uf);Y si me mira, ¿qué hago? (Emm);Seguro me quedo pensando en lo lindo que sería tenerte un ratito a mi lao';Sólo mira; demasiado flow en esa piba (¿Qué?);No anda con un combo porque opaca a las amigas (Woh);Asesina; me hace mal, mal (Qué; bue);Si la veo, llamo al 911 (Qué);Porque sí sé que verla me duele y no me hace bien;Y si me habla (Y si me habla);Seguro me mata (Seguro me mata);Alguien traiga un médico rápido;Que ahora mi' pálpito' empiezan a acelerar (Yeh, yeh, yeh);Porque tal vez lo nuestro era sólo para divertirse;Pero este tonto suele confundirse;Y e' triste que del finde ya no he vuelto a sonreír (Uh, uh);Tal vez lo nuestro era sólo para divertirse (Oh, oh);Pero este tonto suele confundirse (Eh, eh);Y e' triste (Oh, oh);Que del finde ya no he vuelto a sonreír (Eh, eh; oh, oh);Ey, ¡shiuf!;Ovy On The Drums, On The Drums, On The Drums;Paulo Londra;¡Big Ligas!;Lo' Mayore' (Ey);The Kristoman;Leone' Con Flow;O-O-Ovy On The Drums;Sencillo, jeh;¿Qué me queda 'onde? ¿Hacer tango?;Ey;Cansado' de hacer todo' lo' género';Vamo' a inventar algo nuevo ya"
"6","1Ej96GIBCTvgH7tNX1r3qr","Sigue aquí tomándose otro trago;Su ex-novio con otra está (Ah-ah);Los amigos subieron un estado (Ah-ah-ah, ah-ah);Que hoy de farra se van;Te cambió aún siendo mejor que ella (No-no-no-no, no-oh-oh);Por mujeres y un par de botellas (No-no-no-no, no-oh-oh);Por amigos que no son amigos en verdá' (En verdá'; ice);Porque sé que te van a escribir cuando él se va;(Everybody go to the discotek);Y ahora a lo oscuro y sin disimulo (Eso e' así);Olvidando la' pena' la pillé (Ah);Ahora hace lo que quiere cuando quiere (Oh-oh);Y si no quiere, eres otro que se jode también (Here we go again!);Cuando el DJ pone la música (Eso e' así);Ella baila como nunca (Pa' que sepa);Y ahora a lo oscuro (Oh-oh), y sin disimulo (Oh-oh);Olvidando la' pena' la pillé (¡Ra-ta-ta-tá!);Cuando el DJ pone la música;Ella baila como nunca (The Real Rondón);Ahora hace lo que quiere cuando quiere;Y si no quiere, eres otro que se jode también;(Woh, woh, stop that shit, nigga);Ahora pa' ella los días son grise' (Eso e' así);Porque su' mañana' no son felice' (¡Ah!);Lo que eran beso', ahora son cicatrice' (Pa' que sepa);Está soltera y pa' la calle dice (¡Ra-ta-ta-tá!);Deja que yo te coja y te monte en la Mercede' roja (Eso e' así);Voy a que eso abajo se te moja (Se te moja; ¡ah!);Pa' que conmigo 'tés sonrojá' (Here we go again!);Mientra' de to' lo malo te despoja;Hazle las maleti', que hace tiempo que se olvidó de ti (Eso e' así);Yo quiero financiarte, ma', yo quiero darte el peti' (Oh-oh);Tú 'tás linda con tu cuerpecito petite (¡Ah!);Y esa barriguita con más cuadrito que Tetri';Baby, what you look?;Mañana, desayunamo' Froot Loops (Oh my god!);Yo voy a darte y eso lo' sabe' tú (¡Ah!);Entramo' al cuarto, pero no apague' la lu';Que yo vo'a castigarte e' por tu mala actitud (Hi, sweety; listen);Cuando el DJ pone la música (Eso e' así);Ella baila como nunca (Pa' que sepa);Y ahora a lo oscuro (Oh-oh), y sin disimulo (Oh-oh);Olvidando la' pena' la pillé;Cuando el DJ pone la música (¡Ra-ta-ta-tá!);Ella baila como nunca (The Real Rondón);Ahora hace lo que quiere cuando quiere;Y si no quiere, eres otro que se jode también;Cuando el DJ pone la música, música (-ca);Ella se va hasta abajo con toda su gang (Woh, oh);Ahora baila, fuma, toma sola;Llega a la casa y no le dicen na';Qué vida, pa' que nunca se le acabe a ella ('Tá);'Tá borracha, pero pide otra botella (Ah-ah-ah);Es que a esa hora tiene la nota en alta;La felicidad en ella resalta;Y ahora a lo oscuro y sin disimulo (Eso e' así);Olvidando la' pena' la pillé (Ah);Ahora hace lo que quiere cuando quiere (Oh-oh);Y si no quiere, eres otro que se jode también (Here we go again!);Cuando el DJ pone la música (Eso e' así);Ella baila como nunca (Pa' que sepa);Y ahora a lo oscuro (Oh-oh), y sin disimulo (Oh-oh);Olvidando la' pena' la pillé;Cuando el DJ pone la música (¡Ra-ta-ta-tá!);Ella baila como nunca (The Real Rondón);Ahora hace lo que quiere cuando quiere;Y si no quiere, eres otro que se jode también;The Real Rondón;Sech (Sech);La verdadera vuelta, ¿oíste, baby?;Panamá and Puerto Rico;Dímelo Flow, -ow-ow-ow-ow;Stop that shit, nigga;Sech;Oye, baby, dile al noviecito tuyo;Que él e' el de la verdadera vuelta, sí, pero en el Uber"
"7","0s5DNDV6LAKn2u2Ufa3VjQ","Desconocidos;Yeah, yeah, yeah;Sí, sí;Apenas somos dos desconocidos;Con ganas de besarse;Con ganas de que pase lo que pase;Apenas somos dos (Apenas somos dos);Desconocidos;Con miedo a enamorarse;Con miedo de que pase lo que pase;Vamo' a pasar un buen rato;Si quieres, después nos enamoramos;Vamo' a pasar un buen rato;Paso a paso, que la cagamos;Vamo' a pasar un buen rato (Sí);Si quieres, después nos enamoramos;Vamo' a pasar un buen rato;Paso a paso, que la cagamos;Oye, oye, óyeme bien;Tú eres lo que busco yo en una mujer;Te tengo en la mira desde que llegué;Siento que eres mía, yo no sé por qué;Ay, yo sé que es mentira;Decir que soy el hombre de tu vida;Si tú ayer no me conocías;Y no sabías que me querías;Vamo' a pasar un buen rato;Y si quieres, después nos enamoramos;Vamo' a pasar un buen rato;Paso a paso, que la cagamos;Vamo' a pasar un buen rato (Un rato);Si quieres, después nos enamoramos (Después nos enamoramos);Vamo' a pasar un buen rato;Paso a paso, que la cagamos;Y lo bailamo' lentico;No sé como explicar lo que en ti estoy viendo;Me encanta como estás moviéndote;Tu cuerpo estrella contra mi cuerpo, ma;No lo entiendo;Dime si de mí te estabas escondiendo;Tú tan bella y yo apenas conociéndote;Bailemos sin importar quién esté viendo;Hoy yo te quiero tener conmigo, conmigo;Yo quiero pasarla bien contigo, contigo;Hoy yo te quiero tener conmigo, conmigo;Y ver el amanecer contigo, contigo;Apenas somos dos desconocidos;Con ganas de besarse (Don miedo a enamorarse);Con ganas de que pase lo que pase;Apenas somos dos;Desconocidos (Dos desconocidos);Con miedo a enamorarse (Con ganas de besarse);Con miedo de que pase lo que pase;Vamo' a pasar un buen rato;Si quieres, después nos enamoramos (Uoh);Vamo' a pasar un buen rato;Paso a paso, que la cagamos;Ay, vamo' a pasar un buen rato (Sí);Y si quieres, después nos enamoramos;Vamo' a pasar un buen rato;Paso a paso, que la cagamos;(Mau y Ricky);Camilo;Manuel Turizo, Julian Turizo;(Cool)"
"8","2TH65lNHgvLxCKXM3apjxI","Se acostó temprano, mañana hay que estudiar, eh;Pero llamó a la amiga diciendo pa' janguear (Jeje), eh;Tiene un culito ahí que le acabo de textear, eh (Jah);Pero en Bajita, ella no e' de frontear (Ey, ey);Ella e' calla'íta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es (¡Wuh!);Ella e' calla'íta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es;Ella no era así, ella no era así, no sé quién la dañó;Ella no era así, ella no era así, no sé quién la dañó, pero;Ahora enrola (Wuh), y lo prende (Eh);Es panita (Wuh), del que vende (Eh), ey;Nena mala de repente (Prr-prr);No sé si me miente;Pero sé que tiene má' de 20 (¡Wuh-huh!);Lo' shot' de tequila ni lo' siente (Wuh);Ahora ve la vida diferente;Buena, pero le gustan delincuente';La baby llega y se siente la presión (Eh);Ella ni trata y llama la atención (Eh);Ey, el perreo e' su profesión (Tra-tra-tra-tra; ¡wuh!);Siempre puesta pa' la misión;La baby llega y se siente la presión (Eh);Ella ni trata y llama la atención (Eh);Ey, el perreo e' su profesión;Siempre puesta pa' la misión;E-E-E-E-E-Ella e' calla'íta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es (Wuh);Ella e' calla'íta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es;Se dejó hace poco y tiene vida nueva (Jah);Anda con una amiga que e' como su jeva (¡Juh!);Que le trajo 5-12 pa' que se las beba;Ella es calla'íta, no e' que no se atreva;Si hay sol, hay playa, si hay playa, hay alcohol;Si hay alcohol, hay sexo, si e' contigo, mejor;Si hay sol, hay playa, si hay playa, hay alcohol;Si hay alcohol, hay sexo, si e' contigo, mejor;Quítate la ropa que hace calor;Día' de playa, noche' de terror;En la gaveta dejó el temor;Pa' las envidiosa', paz y amor;Yeh, yeh, yeh-yeh-yeh-eh;Tainy, Tainy, ey;Bad Bunny, baby, bebé;Ella e' callaí'ta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es;Ella e' calla'íta, pero pa'l sexo e' atrevida, yo séMarihuana y bebida, gozándose la vida como es (Eh);Ella no era así, ella no era así, no sé quién la dañó;Ella no era así, ella no era así, no sé quién la dañó, pero;(Alócate y hazte mía;Que la noche lo pidió, el destino lo decidió;Ya sé que sentías lo mismo que yo y todavía;Nos queda un ratito para formar el escándalo;A menos que no te decidas)"
"9","2qG5sZ7Si6sdK74qLxedYM","Esto vamo' a arrancarlo con altura;El dembow lo canto con hondura;Dicen: ""Una estrella, una figura""De Héctor aprendí la sabrosura;Nunca he visto una joya tan pura;Esto es pa' que quede, lo que yo hago dura (Con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura);Iré joven pa' la sepultura (Con altura);Esto es pa' que quede, lo que yo hago dura (Con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura);Iré joven pa' la sepultura (Con altura);Pongo rosas sobre el Panamera (Brrm);Pongo palmas sobre la guantanamera;Llevo a Camarón en la guantera (De la Isla);Lo hago pa' mi gente y lo hago a mi manera;Flores azules y quilates;Y si es mentira, que me maten;Flores azules y quilates;Y si es mentira, que me maten;(Con altura; con altura);Esto es pa' que quede, lo que yo hago dura (Con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura);Iré joven pa' la sepultura (Con altura);Esto es pa' que quede, lo que yo hago dura (Con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura);Iré joven pa' la sepultura (Con altura);Acá en la altura 'tán fuerte' los viento' (Wuh);Ponte el cinturón y coge asiento;A tu jeva ya la vi por dentro (Yes);El dinero nunca pierde tiempo (No, no);Contra la pared (Tú lo sabe');Y le tuve que comprar un trago;Porque la tenías con sed (Wuh, wuh);Desde acá qué rico se ve (Woh);No soy Sky;Pero rompí el bajo otra vez (Wuh; mira);Flores azules y quilates (Rosalía);Y si es mentira, que me maten (J Balvin);Flores azules y quilates;Y si es mentira, que me maten;(Con altura; con altura);Esto es pa' que quede, lo que yo hago dura (Con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura);Iré joven pa' la sepultura (Con altura);Esto es pa' que quede, lo que yo hago dura (Siempre dura, dura; con altura);Demasiá' noches de travesura (Con altura);Vivo rápido y no tengo cura (Con altura; ajá);Iré joven pa' la sepultura (Con altura);J Balvin;La RosalíaVamo', vamo' a-a, vamo' a perrearnos, pa' que quede (Con altura);Vamo', vamo' a-a, vamo' a perrearnos, pa'-pa' que quede (Con altura);Vamo', vamo' a-a, vamo' a perrearnos, pa'-pa'-pa' que quede (Con altura);Demasia'o 'e embuste;Vamo', vamo' a-a, vamo' a perrearnos, lo que yo hago dura;Vamo', vamo' a-a, vamo' a perrearnos, pa' que quede (Con altura);Vamo', vamo' a-a, vamo' a perrearnos, pa'-pa' que quede (Con altura);Vamo', vamo' a-a, vamo' a perrearnos, pa'-pa'-pa' que quede (Con altura);Demasia'o 'e embuste;Vamo', vamo' a-a, vamo' a perrearnos, lo que yo hago dura"
"10","1c0hsvHLELX6y8qymnpLKL","Lu-Lu-Lunay;Ella lo que quiere e' joder, vacilar;Solita pa' romper la disco;Ella lo que quiere e' joder, vacilar (Chi, chi, chi);Dale hasta abajo, pata' abajo sin parar;Y estar soltera está de moda;Por eso ella no se enamora;Estar soltera está de moda;Por eso no va a cambiar (Ella no va a cambiar);Estar soltera está de moda;Por eso ella no se enamora (¡Rra-rra!);-Tar soltera está de moda (She);Por eso no va a cam-cam-cambiar;Que nadie le reclame;Celu' en modo avión, no quiere que la llamen;Le da lo mismo que la quieran o la amen;Vacilar y joder, eso' son su plane';Y por ahora eso no va a cambiar;Cero compromiso', solo quiere bellaquear;Porque no quiere que nadie le vuelva a fallar;Beber y joder, no se va a amarrar;Y por ahora eso no va a cambiar;Cero compromiso', solo quiere bellaquear;Porque no quiere que nadie le vuelva a fallar;Beber y joder, no se va a amarrar;Ella lo que quiere e' joder, vacilar;Solita pa' romper la disco;Ella lo que quiere e' joder, vacilar (Chi, chi, chi);Dale hasta abajo, pata' abajo sin parar;Y estar soltera está de moda;Por eso ella no se enamora;Estar soltera está de moda;Por eso no va a cambiar (Ella no va a cambiar);Estar soltera está de moda;Por eso ella no se enamora (¡Rra-rra!);-Tar soltera está de moda (Chi);Por eso no va a cam-cam-cambiar;Pon, ponte-ponte pa' la vuelta, que yo voy pa'l party;Si no, nos vemo', mami, en el after party;Ponte pa'l problema, ándale, déjate ver;Lo que aquí empezamo' lo matamo' en el motel;Tú estás suelta por ahí, yo estoy suelto por acáHacerte wiki wiki, como dice Yaviah;Soltó el corazón, sacó a pasear la maldá';Tiene la mente dañá';A ella no hay quién la amanse;Fuma y se va en un trance;Perreando no pierde el balance;To'as le tiran y no están al alcance;En el romance yo no creo que ella avance, yeah;Y por ahora eso no va a cambiar;Cero compromiso', solo quiere bellaquear;Porque no quiere que nadie le vuelva a fallar;Beber y joder, no se va a amarrar;Ella lo que quiere e' joder, vacilar;Solita pa' romper la disco;Ella lo que quiere e' joder, vacilar (Chi, chi, chi);Dale hasta abajo, pata' abajo sin parar;Y estar soltera está de moda;Por eso ella no se enamora;Estar soltera está de moda;Por eso no va a cambiar (Ella no va a cambiar);Estar soltera está de moda;Por eso ella no se enamora (¡Rra-rra!);-Tar soltera está de moda;Por eso no va a cam-cam-cambiar;Ponte-ponte pa' la vuelta;Ponte-ponte pa'l party-pa'l party, pa-party, el party;Ponte-Pon, ponte pa'l problema, ándale, déjate ver;Da-dale déja-dale deja-dale, déjate ver;Yeh, yeh;Lu-Lu-Lunay;Chri-Chri, Chri-Chri-Chris Jeday, yeh;Gaby-Gaby Music;Dímelo Nino;Magic Rhytms, yeh;Lu-Lu;P.R. en la casa;Ey, (Candy, Candy, Dulce Como Candy);Lu-Lu-Lunay"
